price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;lat;long;sqft_living15;sqft_lot15
1.38E+06;5;3.5;3680;8680;2;0;0;3;9;3680;0;2003;0;476.575;-122.197;2020;8847
550000;3;2.5;1550;1092;3;0;0;3;8;1390;160;2004;0;476.355;-122.324;1550;1079
620000;3;1;1710;4050;1.5;0;0;3;7;1710;0;1909;0;476.732;-122.331;1790;4896
509000;4;2;1630;1724;1.5;0;0;3;6;1030;600;1915;1970;476.472;-122.362;1780;3810
405000;3;2.25;1590;7267;1;0;0;4;7;1100;490;1976;0;477.457;-122.332;2060;8336
355000;3;2.5;2620;78843;1;0;3;4;7;1310;1310;1964;0;472.584;-122.093;2330;130244
289950;3;2.5;1870;1436;2;0;0;3;7;1870;0;2004;0;474.899;-122.166;1720;1852
1.52E+06;4;4.25;3650;5328;1.5;0;0;3;9;2330;1320;1907;2014;47.638;-122.362;1710;3600
220000;2;1;580;7500;1;0;0;3;5;580;0;1943;0;474.852;-122.251;1700;11250
510000;4;2.25;2450;62290;2;0;0;3;8;2450;0;1976;0;477.603;-122.074;2450;41181
244000;3;1.75;1460;4692;1;0;0;3;7;1460;0;1988;0;47.472;-122.192;1600;4557
300000;4;2.5;2200;8065;2;0;0;3;7;2200;0;1998;0;474.042;-122.213;2641;8535
760000;3;2.5;2280;12746;1;0;0;4;8;1490;790;1973;0;476.362;-122.175;2100;12746
287500;4;2.25;2250;12000;2;0;0;3;8;2250;0;1985;0;473.715;-122.274;2140;11871
825000;4;1.5;2040;6900;2;0;0;3;9;2040;0;1903;0;476.188;-122.285;3150;8220
382000;3;3.25;1410;1253;3;0;0;3;8;1410;0;2005;0;476.981;-122.34;1410;1253
1.15E+06;10;5.25;4590;10920;1;0;2;3;9;2500;2090;2008;0;475.861;-122.113;2730;10400
315000;4;1.75;1850;8580;1;0;0;3;7;1140;710;1960;0;474.877;-122.24;2210;9240
894000;4;2.5;3800;22029;2;0;0;3;9;3800;0;1993;0;476.734;-122.026;3170;24979
500000;3;2.25;1690;4964;2;0;0;3;8;1690;0;1989;0;475.756;-122.01;1800;5036
174900;3;1;1100;6000;1.5;0;0;2;6;1100;0;1926;0;475.279;-122.318;960;5880
987000;3;2;2160;15788;1;0;0;3;8;2160;0;1951;0;476.227;-122.207;2260;9787
358000;3;2.25;2510;12013;2;0;0;3;8;2510;0;1988;0;473.473;-122.314;1870;8017
419000;3;2.5;3310;21096;2;0;2;3;9;3310;0;2004;0;473.049;-122.386;3310;13835
323000;4;1.75;1310;9690;1;0;0;4;7;1310;0;1967;0;477.559;-122.226;2280;9618
252500;4;2.5;2600;11280;1.5;0;0;3;7;1570;1030;1961;0;47.336;-122.304;1660;11200
657500;3;1.75;980;6002;1;0;0;4;6;980;0;1942;0;476.643;-122.203;1150;6054
450000;3;1;1290;47044;1;0;0;3;7;1150;140;1968;0;475.655;-121.998;1960;49658
689900;4;3.25;2740;7266;2;0;0;3;9;2060;680;2003;0;475.346;-122.066;3030;6546
1.17E+06;4;2.25;3080;10487;2;0;0;4;9;3080;0;1968;0;475.344;-122.224;2480;10607
762000;4;2;2130;5500;1.5;0;0;5;7;2130;0;1939;0;476.807;-122.199;1490;6000
379400;4;1.75;2120;7680;1;0;0;4;7;1060;1060;1950;0;477.172;-122.361;1530;7680
460458;4;2.5;3284;6516;2;0;0;3;8;3284;0;2014;0;473.393;-122.181;2555;5008
1.92E+06;4;2.5;3070;34412;1;0;3;4;9;2070;1000;1950;0;47.64;-122.24;3780;27940
680000;4;2.5;2980;8770;2;0;0;3;10;2980;0;1990;0;475.814;-122.029;2940;9238
669000;2;2.5;1640;1953;2;0;0;3;10;1640;0;2014;0;475.639;-122.292;1820;2653
631000;4;4;2630;59586;1;0;0;3;7;1470;1160;1963;0;474.496;-122.209;2230;5715
512500;3;2.5;1900;7604;2;0;0;3;8;1900;0;1990;0;477.002;-122.188;1980;9583
275000;4;2;1440;10920;1;0;0;3;5;1440;0;1943;0;475.049;-122.18;1500;11902
359000;4;2.5;1820;11325;1;0;0;3;8;1390;430;1976;0;474.574;-122.361;1990;10802
470000;2;1;1220;4000;1.5;0;0;4;6;1220;0;1908;0;476.801;-122.354;1580;4000
865000;4;2.5;2710;4069;3;0;0;4;10;2710;0;1990;0;47.604;-122.288;1810;3586
342450;3;1.5;1280;5525;1;0;0;3;7;1280;0;1962;0;477.339;-122.336;1330;5286
225500;3;1;1100;5200;1;0;0;4;6;1100;0;1969;0;473.643;-122.081;920;5200
880000;3;1.75;2070;5000;1.5;0;0;3;8;2070;0;1920;0;475.828;-122.291;2630;5000
672000;4;2.5;2440;10049;2;0;0;4;9;2440;0;1989;0;475.744;-121.993;2820;8484
245000;2;1;1200;4880;1;0;0;3;6;980;220;1943;0;475.276;-122.346;1040;4880
965000;4;2.5;3570;17411;2;0;0;3;10;3570;0;1990;0;475.617;-122.03;3510;16153
1.95E+06;4;3.5;4065;18713;2;0;0;4;10;4065;0;1987;0;476.209;-122.237;3070;18713
429900;4;3.25;3310;8897;2;0;0;3;9;2380;930;1991;0;472.655;-122.31;2490;8638
415000;3;2.75;2600;64626;1.5;0;0;3;8;2600;0;2009;0;477.185;-121.405;1740;64626
